channel_name,subscribers,total_videos,total_views,category,stored_video_count
"MoneyMind Finance",37000,61,268786,small,61
"zWORMz Gaming",608000,3769,319771394,medium,5
"Themantic Education",14300,151,1628789,small,151
"Math and Science",1700000,4151,154420300,big,4
"Music Brokers",1590000,2712,953542977,big,3
"Sun News",11300000,208227,9751153525,big,25
"NEWS ON AIR OFFICIAL",752000,63101,66205694,medium,101
"Technology for Teachers and Students",1840000,689,182438991,big,25
"Sky Sports Football",766000,4954,641419290,medium,14
"SGV Digital - Kannada Full Movies",5340000,1918,2279749839,big,7
"AFR Technology",5910000,1659,641806085,big,11
"Our Technology Planet",19800,79,1175051,small,79
"Win Sports",1760000,30948,860752340,big,24
"Martik Finance",45500,28,1916837,small,28
"Banijay Science",614000,1190,124526784,medium,179
"CA Foundation Grooming Education",168000,1839,24200069,medium,19
"Key Education Foundation",4470,324,1550540,small,150
